Fecha-hora;Temperatura máxima ºC;Temperatura media ºC;Temperatura mínima ºC;Humedad relativa med. %;Humedad relativa máx. %;Humedad relativa mín. %;Precipitación acumulada l/m²;Radiación global W/m²;Velocidad media viento 2 m m/s;Dirección viento 2 m (MODA) sector;,Fecha-hora;Temperatura máxima ºC;Temperatura mínima ºC;Humedad relativa máx. %;Humedad relativa mín. %;Precipitación acumulada l/m²;Radiación global W/m²;Velocidad media viento 2 m m/s;Dirección viento 2 m (MODA) sector;
03/03/2000 00:00:00;17.95;7.14;-3.68;59.58;88.7;28.12;0.0;188.09;0.96;1.0,
04/03/2000 00:00:00;16.46;10.53;5.14;67.23;83.5;50.36;0.0;156.22;4.33;1.0,
05/03/2000 00:00:00;17.1;8.62;2.51;56.69;78.0;29.45;0.0;202.85;2.57;9.0,
06/03/2000 00:00:00;18.18;8.18;-1.1;67.21;87.0;36.9;0.0;174.02;0.92;1.0,
07/03/2000 00:00:00;17.68;9.97;3.47;71.31;84.4;51.6;0.0;155.88;1.16;1.0,
08/03/2000 00:00:00;23.66;11.21;-0.5;54.27;92.8;15.37;0.0;205.47;1.27;1.0,
09/03/2000 00:00:00;25.12;11.6;-0.72;48.05;81.6;16.2;0.0;207.67;2.93;1.0,
10/03/2000 00:00:00;24.12;14.51;6.18;45.14;78.9;20.6;0.0;208.65;2.96;1.0,
11/03/2000 00:00:00;24.32;11.33;0.99;58.56;90.8;20.32;0.0;203.2;0.74;1.0,
12/03/2000 00:00:00;24.14;12.27;2.53;51.28;78.5;21.04;0.0;179.6;1.07;1.0,
13/03/2000 00:00:00;18.49;10.43;2.65;61.28;84.3;33.58;0.0;189.86;4.53;1.0,
14/03/2000 00:00:00;18.43;11.65;6.19;61.36;90.5;38.46;2.87;206.91;6.94;1.0,
15/03/2000 00:00:00;15.72;11.04;7.62;56.95;74.0;38.48;0.21;203.55;8.27;1.0,
16/03/2000 00:00:00;19.81;11.38;6.52;45.51;64.5;22.25;0.0;223.04;7.83;8.0,
17/03/2000 00:00:00;17.75;10.4;4.02;55.73;73.5;31.46;0.0;221.53;7.11;1.0,
18/03/2000 00:00:00;15.25;10.75;8.19;58.88;72.5;40.45;0.21;203.27;8.58;8.0,
19/03/2000 00:00:00;12.62;7.72;1.59;54.38;72.7;32.99;0.0;200.29;7.95;1.0,
20/03/2000 00:00:00;16.73;7.76;-2.86;61.97;85.2;31.26;0.0;220.0;2.58;1.0,
21/03/2000 00:00:00;15.55;11.13;8.41;64.37;78.3;48.44;0.0;122.44;6.21;9.0,
22/03/2000 00:00:00;16.15;11.88;8.66;64.09;77.1;40.37;0.0;96.16;5.21;5.0,
23/03/2000 00:00:00;17.08;11.85;8.37;76.65;93.7;45.02;7.79;139.07;3.72;1.0,
24/03/2000 00:00:00;16.41;9.95;4.86;80.18;97.0;44.55;0.0;149.2;0.79;1.0,
25/03/2000 00:00:00;15.12;8.19;1.84;80.48;96.8;49.35;0.41;144.09;1.97;1.0,
26/03/2000 00:00:00;13.69;8.43;2.23;68.76;91.2;45.84;0.0;149.35;3.2;1.0,
27/03/2000 00:00:00;13.06;8.17;3.58;72.69;85.9;52.65;3.69;90.18;3.35;9.0,
28/03/2000 00:00:00;9.54;4.69;0.97;77.67;91.3;53.52;0.21;161.71;3.92;1.0,
29/03/2000 00:00:00;12.21;5.4;0.33;69.76;90.8;36.56;0.0;203.19;2.16;1.0,
30/03/2000 00:00:00;14.03;6.52;-2.32;69.27;92.2;37.19;0.0;147.27;2.33;1.0,
31/03/2000 00:00:00;14.61;9.18;5.15;73.26;95.3;42.09;3.07;182.59;3.07;8.0,
01/04/2000 00:00:00;16.31;9.75;0.25;62.05;95.8;35.15;0.0;214.46;3.06;1.0,
02/04/2000 00:00:00;14.89;11.57;10.01;71.94;88.9;60.39;10.65;97.37;8.38;5.0,
03/04/2000 00:00:00;14.92;11.17;8.34;57.46;79.2;38.91;0.41;221.99;5.8;5.0,
04/04/2000 00:00:00;14.32;9.72;6.44;68.43;92.4;51.05;0.82;116.99;3.27;8.0,
05/04/2000 00:00:00;13.0;7.76;3.6;64.14;79.9;40.15;0.0;199.54;4.68;9.0,
06/04/2000 00:00:00;13.65;7.02;0.69;65.06;87.2;37.96;0.0;264.59;3.52;1.0,
07/04/2000 00:00:00;18.83;9.34;-2.61;55.36;95.2;21.14;0.0;269.13;2.21;9.0,
08/04/2000 00:00:00;10.92;9.43;8.08;73.89;91.0;49.6;6.15;44.49;3.76;8.0,
09/04/2000 00:00:00;16.75;11.88;8.12;77.87;91.7;52.67;5.12;181.35;2.16;9.0,
10/04/2000 00:00:00;11.0;8.88;5.26;86.6;94.5;75.7;10.66;66.05;3.08;9.0,
11/04/2000 00:00:00;12.47;8.92;5.21;78.2;93.5;55.56;0.21;138.29;3.84;1.0,
12/04/2000 00:00:00;15.07;10.31;5.63;76.05;93.7;50.0;0.0;123.96;1.38;8.0,
13/04/2000 00:00:00;17.38;13.07;7.44;60.01;91.9;42.6;0.0;163.64;3.49;2.0,
14/04/2000 00:00:00;17.01;11.7;4.45;67.16;90.0;50.41;3.07;119.44;4.18;9.0,
15/04/2000 00:00:00;14.46;8.58;1.09;72.19;95.0;43.05;4.51;195.08;2.95;8.0,
16/04/2000 00:00:00;17.82;11.52;7.86;75.44;89.9;43.58;12.09;166.82;4.06;8.0,
17/04/2000 00:00:00;17.02;11.51;6.44;64.94;92.2;41.62;0.21;197.97;2.54;8.0,
18/04/2000 00:00:00;15.4;10.33;5.06;78.64;94.1;49.65;2.87;160.06;2.68;8.0,
19/04/2000 00:00:00;19.48;12.83;7.78;84.16;95.9;59.26;4.92;169.19;1.04;8.0,
20/04/2000 00:00:00;24.19;15.98;7.73;68.86;96.3;31.84;0.0;284.44;1.19;1.0,
21/04/2000 00:00:00;24.5;17.56;11.09;63.19;91.0;36.01;0.0;200.71;2.07;1.0,
22/04/2000 00:00:00;18.88;14.46;10.2;77.09;94.7;57.98;6.76;54.4;2.65;4.0,
23/04/2000 00:00:00;17.23;11.03;5.96;68.69;93.6;35.07;0.21;263.28;4.09;8.0,
24/04/2000 00:00:00;21.03;13.49;4.13;64.83;95.8;34.25;0.0;255.71;2.23;1.0,
25/04/2000 00:00:00;25.58;17.67;9.95;53.73;86.3;20.9;0.0;271.05;3.51;2.0,
26/04/2000 00:00:00;19.8;14.65;10.6;61.54;87.8;31.23;0.21;219.38;2.2;1.0,
27/04/2000 00:00:00;11.45;9.37;5.66;80.54;90.8;70.4;10.86;108.95;5.11;1.0,
28/04/2000 00:00:00;15.27;9.87;3.75;71.69;93.4;43.43;0.0;233.53;2.53;9.0,
29/04/2000 00:00:00;16.08;12.25;6.82;65.92;91.6;48.13;0.0;147.91;3.16;1.0,
30/04/2000 00:00:00;19.33;14.53;10.3;61.59;78.6;38.65;0.0;174.23;3.42;9.0,
01/05/2000 00:00:00;22.55;15.25;8.44;55.59;85.7;26.14;0.0;266.22;1.47;1.0,
02/05/2000 00:00:00;25.69;17.88;10.17;52.45;85.2;23.24;0.0;300.93;1.62;1.0,
03/05/2000 00:00:00;25.25;18.26;8.52;49.23;89.2;27.17;0.0;258.79;2.95;8.0,
04/05/2000 00:00:00;24.79;17.66;12.88;55.16;84.9;28.45;0.0;143.53;2.29;1.0,
05/05/2000 00:00:00;22.7;15.78;9.4;68.27;92.4;35.81;0.21;194.75;2.75;1.0,
06/05/2000 00:00:00;23.39;16.14;8.07;66.41;92.3;34.36;1.43;314.72;1.63;1.0,
07/05/2000 00:00:00;23.06;15.61;12.12;74.02;92.8;32.53;6.76;227.3;1.82;1.0,
08/05/2000 00:00:00;20.81;14.91;10.84;81.23;93.7;52.21;7.17;160.2;2.38;9.0,
09/05/2000 00:00:00;22.61;15.48;9.8;79.13;96.1;42.9;13.52;247.49;1.31;1.0,
10/05/2000 00:00:00;21.19;14.96;10.71;83.19;97.3;49.25;2.46;238.18;1.77;1.0,
11/05/2000 00:00:00;19.73;14.63;10.68;83.99;94.1;63.28;4.92;132.1;2.44;9.0,
12/05/2000 00:00:00;22.02;15.55;9.77;75.57;94.3;55.0;0.21;177.03;1.92;1.0,
13/05/2000 00:00:00;26.48;18.18;8.87;65.23;96.0;32.15;0.0;320.74;1.06;1.0,
14/05/2000 00:00:00;28.52;20.74;11.76;58.13;94.6;27.87;0.0;324.15;1.7;7.0,
